Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
2,2.5,0,43.6497827,-79.3804402,9750,"311 Bay St, Toronto, O",M5H
3,2,0,43.6472259,-79.3911003,8000,"21 Widmer St, Toronto, O",M5V
2,3,0,43.648953,-79.3857683,6500,"180 University Ave, Toronto, O",M5H
3,2,0,43.6410122,-79.3949476,6000,", toronto M5V 3z4 O",M5V
3,2,0,43.6419081,-79.3817798,4900,"14 York St, Toronto, O",M5J
3,3,0,43.6425685,-79.3934596,4900,"397 Front St W, Toronto, O",M5V
1,1,0,43.6452974,-79.3923967,4700,"80 Blue Jays Way, Toronto, O",M5V
3,2,0,43.6723273,-79.4287263,4625,"Salvador Allende Ct, Toronto, O",M6G
3,3,0,43.6715933,-79.3750834,4500,"10 Glen Rd, Toronto, O",M4X
2,2,0,43.6490235,-79.3884001,4500,30,M5V
3,2,0,43.6415283,-79.3833016,4200,"25 Lower Simcoe St, Toronto, O",M5J
2,2,0,43.6667515,-79.3762355,4100,"120 Homewood Ave, Toronto, O",M4Y
2,2,0,43.6667515,-79.3762355,4100,"120 Homewood Ave, Toronto, O",M4Y
3,2,0,56.130366,-106.346771,4000,"M5B0A5, Canada",M5B
3,2,0,56.130366,-106.346771,4000,"M5B0A5, Canada",M5V
2,2,0,43.6619074,-79.3782085,4000,"77 Carlton St, Toronto, O",M5B
2,2,0,43.6458091,-79.3756819,4000,"1 The Esplanade, Toronto, O",M5E
2,2,0,43.6487831,-79.3880423,4000,21,M5V
2,2,0,43.6551919,-79.3539119,4000,"170 Bayview Avenue, Toronto M5A 0M4 O",M5A
1,1,0,43.648953,-79.3857683,4000,"180 university Ave, M5H 0A3, TORO",M5H
1,1,0,43.6447757,-79.3665735,4000,"Queens Quay E, Toronto, O",M5A
1,1,0,43.6406456,-79.380939,4000,"8 York St, Toronto, O",M5J
3,2,0,43.6616535,-79.3775582,3999,"225 Mutual St, Toronto, O",M5B
2,2,0,43.6461884,-79.3972358,3950,"399 Adelaide St W, Toronto, O",M5V
3,2,0,43.6503403,-79.3876465,3900,"M5V1Z5, Canada",M5V
3,2,0,43.6419081,-79.3817798,3800,"14 York St, Toronto, O",M5J
1,1,0,43.6515793,-79.39008,3750,"49 McCaul St, Toronto, O",M5T
1,1,0,43.6475126,-79.3927022,3750,"101 Peter St, Toronto, O",M5V
2,2,0,43.6655881,-79.383028,3700,"28 Wellesley St E, Toronto, O",M4Y
2,2,0,43.6655881,-79.383028,3700,"28 Wellesley St E, Toronto, O",M4Y
2,2,0,43.6655881,-79.383028,3700,"28 Wellesley St E, Toronto, O",M4Y
2,1,0,43.6525195,-79.3890778,3700,", Toronto M5T 0A9 O",M5T
1,1,0,43.6709659,-79.3905934,3620,", Toronto  M5R 1B7 O",M5R
1,2,0,43.640402,-79.3971467,3600,", DOW",M5V
3,1,0,43.6486411,-79.4011928,3600,", m5t2m5, Toronto, O",M5T
2,2,0,43.6500917,-79.3873738,3600,"168 Simcoe St, Toronto, O",M5H
1,1,1,43.6465174,-79.3872066,3600,"John St &amp; King St W, Toronto, O",M5V
2,2,0,43.6695928,-79.3805797,3575,"101 Charles St E, Toronto, O",M4Y
2,2,0,43.6695928,-79.3805797,3575,"101 Charles St E, Toronto, O",M4Y
3,2,0,43.6387842,-79.3988635,3500,"85 Queens Wharf Rd, Toronto, O",M5V
